NAME,RACE,AGE,SEX,CRIME,METHOD,DAY,MONTH,YEAR,STATE
(ATKINSON),Black,,M,Murder,Hanging,6,6,1840,GA
(ATKINSON),Black,,M,Murder,Hanging,6,6,1840,GA
(ATKINSON),Black,,M,Murder,Hanging,6,6,1840,GA
(ATKINSON),Black,,M,Murder,Hanging,6,6,1840,GA
(ATKINSON),Black,,M,Murder,Hanging,6,6,1840,GA
(ORMOND),Black,,F,Murder,Burned,11,12,1770,NC
(ORMOND),Black,,M,Murder,Hanging,11,12,1770,NC
(ORMOND),Black,,F,Murder,Hanging,11,12,1770,NC
DICK (YANCEY),Black,,M,Murder,Hanging,10,5,1851,AL
(ALEXANDER),Black,,,unknown,Hanging,12,7,1859,AL
(ALEXANDER),Black,,,unknown,Hanging,12,7,1859,AL
(ANDERSON),Black,,,Murder,Hanging,9,3,1777,VA
(ARRINGTON),Black,,M,unknown,Hanging,5,4,1784,NC
(AVERY),Black,,,unknown,Hanging,19,1,1850,AL
(BARTRAM),Black,,M,unknown,Hanging,26,2,1739,NC
(BAXTER),Black,,M,Murder,Hanging,17,10,1838,SC
(BELL),Black,,M,Slave Revolt,Hanging,5,12,1856,TN
(BELL),Black,,M,Slave Revolt,Hanging,5,12,1856,TN
(BELL),Black,,M,Slave Revolt,Hanging,5,12,1856,TN
(BELL),Black,,M,Slave Revolt,Hanging,5,12,1856,TN
(BLAKE),Black,,M,Poisoning,Gibbeted,25,7,1744,SC
(BOOKER),Black,,M,Rape,Hanging,,,1769,VA
(BOURGEAT),Black,,,unknown,Hanging,1,3,1841,LA
(BOWDEN),Black,,M,Rape,Hanging,8,9,1831,NC
(BOYLE),Black,,M,Murder,Hanging,10,8,1838,SC
(BOYLE),Black,,M,Murder,Hanging,10,8,1838,SC
(BOYLE),Black,,M,Murder,Hanging,10,8,1838,SC
(BREAU),Black,,,unknown,Hanging,20,3,1839,LA
(BREAU),Black,,,unknown,Hanging,20,3,1839,LA
(BREAU),Black,,,Slave Revolt,Hanging,,,1840,LA
(BREAU),Black,,,Slave Revolt,Hanging,,,1840,LA
(BREAU),Black,,,unknown,Hanging,20,3,1839,LA
(BREWSTER),Black,,M,Murder,Hanging,,4,1772,NY
(BROWN),Black,,M,Murder,Burned,,7,1772,SC
(BROWNRIGG),Black,,,Unspecified Felony ,Hanging,11,12,1770,NC
(BROWNRIGG),Black,,,Unspecified Felony ,Hanging,11,12,1770,NC
(BROWNRIGG),Black,,,Unspecified Felony ,Hanging,11,12,1770,NC
(BUNCOMBE),Black,,M,unknown,Hanging,26,2,1739,NC
(BUNCOMBE),Black,,M,unknown,Hanging,26,2,1739,NC
(CARLETON),Black,,,unknown,Hanging,26,12,1850,AL
(CARPENTER),Black,,,unknown,Hanging,7,1,1841,AL
(CARR),Black,,,unknown,Hanging,31,1,1848,AL
