State,Election Type
Alabama,Partisan Election
Alaska,Missouri Plan
Arizona,Missouri Plan
Arkansas,Non-Partisan Election
California,Appointment by Governor
Colorado,Missouri Plan
Connecticut,Missouri Plan
Delaware,Appointment by Governor
Florida,Missouri Plan
Georgia,Non-Partisan Election
Hawaii,Appointment by Governor
Idaho,Non-Partisan Election
Illinois,Partisan Election
Indiana,Missouri Plan
Iowa,Missouri Plan
Kansas,Missouri Plan
Kentucky,Non-Partisan Election
Louisiana,Partisan Election
Maine,Appointment by Governor
Maryland,Appointment by Governor
Massachusetts,Appointment by Governor
Michigan,Semi-Partisan Election
Minnesota,Non-Partisan Election
Mississippi,Non-Partisan Election
Missouri,Missouri Plan
Montana,Non-Partisan Election
Nebraska,Missouri Plan
Nevada,Non-Partisan Election
New Hampshire,Appointment by Governor w/ Exec Council
New Jersey,Appointment by Governor
New Mexico,Appointment by Governor
New York,Appointment by Governor
North Carolina,Partisan Election
North Dakota,Non-Partisan Election
Ohio,Partisan Election
Oklahoma,Missouri Plan
Oregon,Non-Partisan Election
Pennsylvania,Partisan Election
Puerto Rico,Appointment by Governor
Rhode Island,Appointment by Governor
South Carolina,Appointment by General Assembly
South Dakota,Missouri Plan
Tennessee,Appointment by Governor
Texas,Partisan Election
Utah,Missouri Plan
Vermont,Appointment by Governor
Washington,Non-Partisan Election
West Virginia,Non-Partisan Election
Virginia,Appointment by Legislature
Wisconsin,Non-Partisan Election
Wyoming,Missouri Plan
